股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
1,2024-01-02,984.7939032,965.9160648,987.9402096,965.9160648,115836645.0,1075742252.45,2.24,-18.88,0.5969,-1.9169
1,2024-01-03,963.8185272,964.867296,966.9648336,959.623452,73361031.0,673673613.54,0.76,-1.05,0.378,-0.1086
1,2024-01-04,963.8185272,955.4283768,963.8185272,952.2820704,86419399.0,787470082.37,1.2,-9.44,0.4453,-0.9783
1,2024-01-05,954.379608,972.2086776,990.0377472,951.2333016,199162216.0,1852659692.14,4.06,16.78,1.0263,1.7563
1,2024-01-08,968.0136024,959.623452,975.354984,955.4283768,112115619.0,1029006548.73,2.05,-12.59,0.5778,-1.2945
1,2024-01-09,960.6722208,962.7697584,963.8185272,953.3308392,76619388.0,700375720.2,1.09,3.15,0.3948,0.3279
1,2024-01-10,960.6722208,953.3308392,963.8185272,953.3308392,85862091.0,783771150.01,1.09,-9.44,0.4425,-0.9804
1,2024-01-11,952.2820704,961.7209896,966.9648336,947.0382264,93468637.0,853890237.29,2.09,8.39,0.4817,0.8801
1,2024-01-12,957.5259144,963.8185272,972.2086776,955.4283768,77258215.0,711018266.07,1.74,2.1,0.3981,0.2181
1,2024-01-15,960.6722208,965.9160648,974.3062152,957.5259144,74513266.0,685950951.45,1.74,2.1,0.384,0.2176
1,2024-01-16,963.8185272,979.5500592,980.598828,960.6722208,143831258.0,1334465408.53,2.06,13.63,0.7412,1.4115
1,2024-01-17,978.5012904,968.0136024,984.7939032,968.0136024,148229621.0,1380725065.03,1.71,-11.54,0.7639,-1.1777
1,2024-01-18,965.9160648,964.867296,969.0623712,943.89192,175513247.0,1597853726.63,2.6,-3.15,0.9044,-0.325
1,2024-01-19,960.6722208,961.7209896,964.867296,954.379608,96398142.0,881865023.89,1.09,-3.15,0.4968,-0.3261
1,2024-01-22,960.6722208,954.379608,971.1599088,948.0869952,158031966.0,1449858241.68,2.4,-7.34,0.8144,-0.7634
1,2024-01-23,949.135764,960.6722208,962.7697584,939.6968448,113554458.0,1030898421.04,2.42,6.29,0.5852,0.6593
1,2024-01-24,968.0136024,978.5012904,979.5500592,951.2333016,175912316.0,1620099272.06,2.95,17.83,0.9065,1.8559
1,2024-01-25,978.5012904,996.33036,1000.5254352,972.2086776,216251395.0,2037648413.07,2.89,17.83,1.1144,1.8221
